date	nil	count
2014-02-28 12:00:00	ADRIANO	5.6
2014-02-28 13:00:00	ADRIANO	6.533333333333333
2014-02-28 14:00:00	ADRIANO	6.066666666666666
2014-02-28 15:00:00	ADRIANO	6.433333333333334
2014-02-28 16:00:00	ADRIANO	6.0
2014-02-28 17:00:00	ADRIANO	5.6
2014-02-28 18:00:00	ADRIANO	5.0
2014-02-28 19:00:00	ADRIANO	4.233333333333333
2014-02-28 20:00:00	ADRIANO	4.466666666666667
2014-02-28 21:00:00	ADRIANO	5.133333333333334
2014-02-28 22:00:00	ADRIANO	5.166666666666667
2014-02-28 23:00:00	ADRIANO	4.0
2014-03-01 00:00:00	ADRIANO	4.133333333333334
2014-03-01 01:00:00	ADRIANO	4.733333333333333
2014-03-01 02:00:00	ADRIANO	3.7666666666666666
2014-03-01 03:00:00	ADRIANO	3.466666666666667
2014-03-01 04:00:00	ADRIANO	4.5
2014-03-01 05:00:00	ADRIANO	4.166666666666667
2014-03-01 06:00:00	ADRIANO	4.0
2014-03-01 07:00:00	ADRIANO	4.0
2014-03-01 08:00:00	ADRIANO	3.3
2014-03-01 09:00:00	ADRIANO	3.0
2014-03-01 10:00:00	ADRIANO	3.0
2014-03-01 11:00:00	ADRIANO	3.0
2014-03-01 12:00:00	ADRIANO	3.0
2014-03-01 13:00:00	ADRIANO	3.3666666666666667
2014-03-01 14:00:00	ADRIANO	3.933333333333333
2014-03-01 15:00:00	ADRIANO	2.933333333333333
2014-03-01 16:00:00	ADRIANO	2.0
2014-03-01 17:00:00	ADRIANO	1.3666666666666667
2014-03-01 18:00:00	ADRIANO	1.0
2014-03-01 19:00:00	ADRIANO	1.4666666666666666
2014-03-01 20:00:00	ADRIANO	1.0
2014-03-01 21:00:00	ADRIANO	2.433333333333333
2014-03-01 22:00:00	ADRIANO	2.433333333333333
2014-03-01 23:00:00	ADRIANO	1.2666666666666666
2014-03-02 00:00:00	ADRIANO	1.0
